pair_ID	relatedness_score	entailment_judgment
3222	3.73	CONTRADICTION
3250	4.61	ENTAILMENT
3258	4.17	ENTAILMENT
3275	4.59	ENTAILMENT
3291	2.87	NEUTRAL
3292	2.47	NEUTRAL
3322	4.43	NEUTRAL
3338	3.97	CONTRADICTION
3364	4.77	ENTAILMENT
3373	4.7	ENTAILMENT
3384	4.73	ENTAILMENT
3398	3.06	NEUTRAL
3420	2.41	NEUTRAL
3433	4.6	ENTAILMENT
3459	3.71	ENTAILMENT
3485	4.74	ENTAILMENT
3501	4.53	ENTAILMENT
3505	3.6	NEUTRAL
3518	2.93	NEUTRAL
3536	4.5	ENTAILMENT
3586	4.13	NEUTRAL
3598	4.1	ENTAILMENT
3625	3.66	CONTRADICTION
3626	4.38	NEUTRAL
3657	4.71	ENTAILMENT
3661	2.51	NEUTRAL
3670	4.94	NEUTRAL
3680	3.97	CONTRADICTION
3711	4.36	ENTAILMENT
3721	4.81	ENTAILMENT
3733	3.38	NEUTRAL
3747	4.0	ENTAILMENT
3790	4.59	ENTAILMENT
3812	4.74	ENTAILMENT
3855	3.51	NEUTRAL
3861	3.5	NEUTRAL
3862	3.27	NEUTRAL
3880	4.2	ENTAILMENT
3897	3.34	CONTRADICTION
3909	4.17	ENTAILMENT
3910	3.44	NEUTRAL
3922	3.96	CONTRADICTION
3941	3.5	NEUTRAL
3982	3.68	NEUTRAL
3996	2.02	NEUTRAL
4001	4.31	ENTAILMENT
4006	4.39	ENTAILMENT
4011	4.42	ENTAILMENT
4015	4.26	ENTAILMENT
4031	3.28	NEUTRAL
4054	4.33	ENTAILMENT
4060	3.4	NEUTRAL
4066	4.66	ENTAILMENT
4067	4.0	NEUTRAL
4079	4.54	ENTAILMENT
4086	3.69	CONTRADICTION
4114	3.15	NEUTRAL
4135	4.23	NEUTRAL
4140	3.54	NEUTRAL
4155	3.85	CONTRADICTION
4157	3.82	CONTRADICTION
4164	4.33	ENTAILMENT
4187	2.8	NEUTRAL
4191	3.49	NEUTRAL
4196	1.78	NEUTRAL
4288	3.9	NEUTRAL
4321	3.4	CONTRADICTION
4330	3.4	CONTRADICTION
4342	4.07	ENTAILMENT
4360	3.73	ENTAILMENT
4376	1.72	NEUTRAL
4411	3.82	NEUTRAL
4429	3.42	NEUTRAL
4477	2.14	NEUTRAL
4505	3.99	NEUTRAL
4520	3.84	CONTRADICTION
4614	3.71	CONTRADICTION
4638	3.45	NEUTRAL
4650	3.59	CONTRADICTION
4661	4.8	ENTAILMENT
4707	4.36	ENTAILMENT
4734	3.69	NEUTRAL
4755	1.51	NEUTRAL
4767	3.77	CONTRADICTION
4776	3.95	CONTRADICTION
4803	3.99	CONTRADICTION
4814	3.84	NEUTRAL
4816	3.77	CONTRADICTION
4823	3.68	NEUTRAL
4831	3.79	CONTRADICTION
4843	3.74	CONTRADICTION
4851	4.78	ENTAILMENT
4852	3.77	CONTRADICTION
4866	1.56	NEUTRAL
4891	3.78	NEUTRAL
4916	3.93	ENTAILMENT
4934	4.88	ENTAILMENT
4963	4.78	ENTAILMENT
4966	3.74	CONTRADICTION
4983	4.63	ENTAILMENT
5003	4.4	ENTAILMENT
5030	4.58	NEUTRAL
5047	4.41	NEUTRAL
5051	3.56	CONTRADICTION
5052	2.24	NEUTRAL
5082	2.79	NEUTRAL
5110	3.99	ENTAILMENT
5113	3.85	NEUTRAL
5119	1.37	NEUTRAL
5148	4.53	ENTAILMENT
5203	4.62	ENTAILMENT
5206	1.58	NEUTRAL
5310	3.94	CONTRADICTION
5349	4.47	ENTAILMENT
5352	3.4	CONTRADICTION
5374	4.88	ENTAILMENT
5454	3.85	CONTRADICTION
5461	4.15	ENTAILMENT
5498	3.83	ENTAILMENT
5540	3.23	NEUTRAL
5588	4.54	ENTAILMENT
5657	2.72	NEUTRAL
5698	4.33	ENTAILMENT
5706	3.86	NEUTRAL
5745	2.66	NEUTRAL
5747	3.73	NEUTRAL
5799	4.59	ENTAILMENT
5806	4.09	ENTAILMENT
5904	3.81	NEUTRAL
5909	1.52	NEUTRAL
5914	4.65	ENTAILMENT
5920	1.49	NEUTRAL
5924	3.9	CONTRADICTION
5930	1.64	NEUTRAL
5938	3.46	NEUTRAL
5955	4.1	ENTAILMENT
6001	2.88	NEUTRAL
6005	4.54	ENTAILMENT
6042	2.94	NEUTRAL
6047	4.46	ENTAILMENT
6078	4.01	ENTAILMENT
6119	3.95	NEUTRAL
6131	3.84	NEUTRAL
6146	4.2	ENTAILMENT
6153	3.67	NEUTRAL
6158	1.8	NEUTRAL
6203	4.45	NEUTRAL
6213	3.99	NEUTRAL
6219	4.29	ENTAILMENT
6228	3.2	NEUTRAL
6231	4.06	NEUTRAL
6280	4.6	ENTAILMENT
6287	4.42	ENTAILMENT
6315	4.61	ENTAILMENT
6330	3.2	NEUTRAL
6344	4.27	NEUTRAL
6358	3.5	CONTRADICTION
6394	2.36	NEUTRAL
6396	4.01	ENTAILMENT
6450	4.42	NEUTRAL
6482	2.87	NEUTRAL
6544	3.34	NEUTRAL
6568	4.62	NEUTRAL
6590	2.73	NEUTRAL
6592	3.52	ENTAILMENT
6598	3.39	NEUTRAL
6625	2.93	NEUTRAL
6634	4.0	NEUTRAL
6649	4.11	ENTAILMENT
6673	2.64	NEUTRAL
6705	4.29	ENTAILMENT
6709	3.37	NEUTRAL
6729	2.5	NEUTRAL
6740	2.49	NEUTRAL
6756	4.8	ENTAILMENT
6764	4.16	ENTAILMENT
6784	4.06	CONTRADICTION
6849	1.89	NEUTRAL
6866	3.48	NEUTRAL
6912	4.27	NEUTRAL
6932	2.07	NEUTRAL
6955	3.05	NEUTRAL
6961	4.58	ENTAILMENT
6971	3.86	CONTRADICTION
7002	2.68	NEUTRAL
7007	4.14	ENTAILMENT
7018	4.58	ENTAILMENT
7027	3.22	CONTRADICTION
7043	1.96	NEUTRAL
7044	2.9	NEUTRAL
7064	4.76	ENTAILMENT
7088	2.92	NEUTRAL
7093	4.76	ENTAILMENT
7214	3.91	CONTRADICTION
7228	2.11	NEUTRAL
7311	4.49	NEUTRAL
7319	4.3	ENTAILMENT
7356	3.5	NEUTRAL
7363	2.73	NEUTRAL
7374	3.23	NEUTRAL
7394	3.79	NEUTRAL
7410	2.57	NEUTRAL
7445	4.39	ENTAILMENT
7448	2.25	NEUTRAL
7464	1.81	NEUTRAL
7466	4.49	ENTAILMENT
7471	3.3	NEUTRAL
7475	3.47	NEUTRAL
7477	4.79	ENTAILMENT
7501	3.31	NEUTRAL
7533	2.65	NEUTRAL
7541	3.12	NEUTRAL
7544	3.57	NEUTRAL
7546	4.5	ENTAILMENT
7548	4.72	ENTAILMENT
7582	4.01	ENTAILMENT
7590	2.98	NEUTRAL
7649	3.74	CONTRADICTION
7667	4.0	CONTRADICTION
7677	4.22	NEUTRAL
7718	3.97	CONTRADICTION
7720	2.93	NEUTRAL
7726	4.51	ENTAILMENT
7734	1.94	NEUTRAL
7743	2.77	NEUTRAL
7772	3.99	NEUTRAL
7795	4.18	ENTAILMENT
7820	2.02	NEUTRAL
7877	3.59	NEUTRAL
7889	4.72	ENTAILMENT
7932	1.94	NEUTRAL
7937	4.61	ENTAILMENT
7938	2.14	NEUTRAL
7947	2.65	NEUTRAL
7950	2.57	NEUTRAL
7951	3.05	NEUTRAL
7997	2.68	NEUTRAL
8057	4.6	ENTAILMENT
8122	2.99	NEUTRAL
8138	4.43	ENTAILMENT
8141	3.29	NEUTRAL
8163	4.22	ENTAILMENT
8193	3.88	CONTRADICTION
8212	2.74	NEUTRAL
8220	3.93	ENTAILMENT
8263	3.97	ENTAILMENT
8313	2.14	NEUTRAL
8326	3.71	CONTRADICTION
8334	4.37	ENTAILMENT
8343	4.6	ENTAILMENT
8362	4.32	ENTAILMENT
8375	3.05	NEUTRAL
8383	4.11	NEUTRAL
8389	4.4	ENTAILMENT
8461	3.5	CONTRADICTION
8471	4.57	ENTAILMENT
8500	3.27	NEUTRAL
8505	4.37	ENTAILMENT
8548	3.92	NEUTRAL
8558	4.2	NEUTRAL
8576	3.58	NEUTRAL
8632	4.1	CONTRADICTION
8633	4.14	ENTAILMENT
8658	3.95	NEUTRAL
8660	3.91	ENTAILMENT
8678	4.48	ENTAILMENT
8700	4.06	NEUTRAL
8714	4.54	ENTAILMENT
8727	3.46	NEUTRAL
8786	3.79	ENTAILMENT
8792	3.63	NEUTRAL
8806	4.27	ENTAILMENT
8832	3.99	NEUTRAL
8841	4.22	ENTAILMENT
8855	3.87	NEUTRAL
8938	4.0	NEUTRAL
8963	3.02	NEUTRAL
8986	4.05	ENTAILMENT
9014	4.32	ENTAILMENT
9029	3.6	NEUTRAL
9036	3.24	NEUTRAL
9056	3.98	NEUTRAL
9069	4.33	ENTAILMENT
9093	1.65	NEUTRAL
9102	3.39	NEUTRAL
9125	2.57	NEUTRAL
9132	4.59	ENTAILMENT
9136	4.08	NEUTRAL
9169	4.14	ENTAILMENT
9188	3.28	NEUTRAL
9198	2.89	NEUTRAL
9200	2.79	NEUTRAL
9211	3.65	ENTAILMENT
9224	3.74	NEUTRAL
9242	2.5	NEUTRAL
9287	3.28	NEUTRAL
9303	4.63	ENTAILMENT
9314	1.75	NEUTRAL
9336	3.85	NEUTRAL
9359	4.19	ENTAILMENT
9371	3.04	NEUTRAL
9380	2.8	NEUTRAL
9401	4.1	NEUTRAL
9424	3.52	NEUTRAL
9425	3.16	NEUTRAL
9433	4.22	ENTAILMENT
9452	3.31	NEUTRAL
9453	2.81	NEUTRAL
9490	3.2	NEUTRAL
9500	2.69	NEUTRAL
9545	3.75	NEUTRAL
9571	3.39	ENTAILMENT
9584	4.29	ENTAILMENT
9623	4.53	ENTAILMENT
9669	4.74	ENTAILMENT
9677	2.72	NEUTRAL
9706	4.18	ENTAILMENT
9713	3.28	NEUTRAL
9722	3.06	NEUTRAL
9745	4.21	NEUTRAL
9747	3.94	NEUTRAL
9759	2.07	NEUTRAL
9763	1.38	NEUTRAL
9771	2.78	NEUTRAL
9788	1.66	NEUTRAL
9789	2.13	NEUTRAL
9822	1.38	NEUTRAL
9838	1.56	NEUTRAL
9843	1.48	NEUTRAL
9869	3.28	NEUTRAL
9880	1.64	NEUTRAL
9931	3.49	NEUTRAL
9963	1.19	NEUTRAL
9975	1.37	NEUTRAL
9988	1.68	NEUTRAL
